extra_effect_id,content_type,target_value_1,target_value_2,set_id,exec_timing_1,exec_timing_2,exec_timing_3,exec_timing_4,exec_timing_5,enemy_id_1,enemy_id_2,enemy_id_3,enemy_id_4,enemy_id_5
102311001,16,610132007,0,61013201,1,0,0,0,0,610132504,0,0,0,0
102311002,16,610132008,0,61013201,1,0,0,0,0,610132504,0,0,0,0
102311003,16,610132009,0,61013201,1,0,0,0,0,610132504,0,0,0,0
102312001,16,610134007,0,61013401,1,0,0,0,0,610134504,0,0,0,0
102312002,16,610134008,0,61013401,1,0,0,0,0,610134504,0,0,0,0
102312003,16,610134009,0,61013401,1,0,0,0,0,610134504,0,0,0,0
102401001,16,610136004,0,61013601,1,0,0,0,0,610136404,0,0,0,0
102401002,16,610136005,0,61013601,1,0,0,0,0,610136405,0,0,0,0
102401003,16,610136006,0,61013601,1,0,0,0,0,610136406,0,0,0,0
102401004,16,610136007,0,61013601,1,0,0,0,0,610136504,0,0,0,0
102401005,16,610136008,0,61013601,1,0,0,0,0,610136505,0,0,0,0
102401006,16,610136009,0,61013601,1,0,0,0,0,610136506,0,0,0,0
102401007,16,610137007,0,61013601,1,0,0,0,0,610137504,0,0,0,0
102401008,16,610137008,0,61013601,1,0,0,0,0,610137504,0,0,0,0
102401009,16,610137009,0,61013601,1,0,0,0,0,610137504,0,0,0,0
102402001,16,610140007,0,61014001,1,0,0,0,0,610140504,0,0,0,0
102402002,16,610140008,0,61014001,1,0,0,0,0,610140504,0,0,0,0
102402003,16,610140009,0,61014001,1,0,0,0,0,610140504,0,0,0,0
430001001,43,810010011,0,0,1,1,0,0,0,810100106,810100107,0,0,0
430001002,43,810010021,0,0,1,1,0,0,0,810100106,810100107,0,0,0
430001003,43,810010031,0,0,1,1,0,0,0,810100106,810100107,0,0,0
430001004,43,810010041,0,0,1,1,0,0,0,810100106,810100107,0,0,0
430001005,43,810010051,0,0,1,1,0,0,0,810100106,810100107,0,0,0
430001006,43,810010061,0,0,1,1,0,0,0,810100106,810100107,0,0,0
430001007,43,810010071,0,0,1,1,0,0,0,810100106,810100107,0,0,0
430001008,43,810010081,0,0,1,1,0,0,0,810100106,810100107,0,0,0
430001009,43,810010091,0,0,1,1,0,0,0,810100106,810100107,0,0,0
430001010,43,810010101,0,0,1,1,4,0,0,810101002,810101003,810101004,0,0
430001011,43,810010111,0,0,1,1,0,0,0,810100106,810100107,0,0,0
430001012,43,810010121,0,0,1,1,0,0,0,810100106,810100107,0,0,0
430001013,43,810010131,0,0,1,1,0,0,0,810100106,810100107,0,0,0
430001014,43,810010141,0,0,1,1,0,0,0,810100106,810100107,0,0,0
430001015,43,810010151,0,0,1,1,0,0,0,810100106,810100107,0,0,0
430001016,43,810010161,0,0,1,1,0,0,0,810100106,810100107,0,0,0
430001017,43,810010171,0,0,1,1,0,0,0,810100106,810100107,0,0,0
430001018,43,810010181,0,0,1,1,0,0,0,810100106,810100107,0,0,0
430001019,43,810010191,0,0,1,1,0,0,0,810100106,810100107,0,0,0
430001020,43,810010201,0,0,1,1,1,0,0,810102002,810102003,810102004,0,0
430001021,43,810010211,0,0,1,1,0,0,0,810100106,810100107,0,0,0
430001022,43,810010221,0,0,1,1,0,0,0,810100106,810100107,0,0,0
430001023,43,810010231,0,0,1,1,0,0,0,810100106,810100107,0,0,0
430001024,43,810010241,0,0,1,1,0,0,0,810100106,810100107,0,0,0
430001025,43,810010251,0,0,1,1,0,0,0,810100106,810100107,0,0,0
430001026,43,810010261,0,0,1,1,0,0,0,810100106,810100107,0,0,0
430001027,43,810010271,0,0,1,1,0,0,0,810100106,810100107,0,0,0
430001028,43,810010281,0,0,1,1,0,0,0,810100106,810100107,0,0,0
430001029,43,810010291,0,0,1,1,0,0,0,810100106,810100107,0,0,0
430001030,43,810010301,0,0,1,1,1,0,0,810103002,810103003,810103004,0,0
430001051,43,820010011,0,0,1,1,0,0,0,810100106,810100107,0,0,0
430001052,43,820010021,0,0,1,1,0,0,0,810100106,810100107,0,0,0
430001053,43,820010031,0,0,1,1,0,0,0,810100106,810100107,0,0,0
430001054,43,820010041,0,0,1,1,0,0,0,810100106,810100107,0,0,0
430001055,43,820010051,0,0,1,1,0,0,0,810100106,810100107,0,0,0
430001056,43,820010061,0,0,1,1,0,0,0,810100106,810100107,0,0,0
430001057,43,820010071,0,0,1,1,0,0,0,810100106,810100107,0,0,0
430001058,43,820010081,0,0,1,1,0,0,0,810100106,810100107,0,0,0
430001059,43,820010091,0,0,1,1,0,0,0,810100106,810100107,0,0,0
430001060,43,820010101,0,0,1,1,0,0,0,820101002,820101003,0,0,0
430001061,43,820010111,0,0,1,1,0,0,0,810100106,810100107,0,0,0
430001062,43,820010121,0,0,1,1,0,0,0,810100106,810100107,0,0,0
430001063,43,820010131,0,0,1,1,0,0,0,810100106,810100107,0,0,0
430001064,43,820010141,0,0,1,1,0,0,0,810100106,810100107,0,0,0
430001065,43,820010151,0,0,1,1,0,0,0,810100106,810100107,0,0,0
430001066,43,820010161,0,0,1,1,0,0,0,810100106,810100107,0,0,0
430001067,43,820010171,0,0,1,1,0,0,0,810100106,810100107,0,0,0
430001068,43,820010181,0,0,1,1,0,0,0,810100106,810100107,0,0,0
430001069,43,820010191,0,0,1,1,0,0,0,810100106,810100107,0,0,0
430001070,43,820010201,0,0,1,1,1,0,0,820102002,820102003,820102004,0,0
430001071,43,820010211,0,0,1,1,0,0,0,810100106,810100107,0,0,0
430001072,43,820010221,0,0,1,1,0,0,0,810100106,810100107,0,0,0
430001073,43,820010231,0,0,1,1,0,0,0,810100106,810100107,0,0,0
430001074,43,820010241,0,0,1,1,0,0,0,810100106,810100107,0,0,0
430001075,43,820010251,0,0,1,1,0,0,0,810100106,810100107,0,0,0
430001076,43,820010261,0,0,1,1,0,0,0,810100106,810100107,0,0,0
430001077,43,820010271,0,0,1,1,0,0,0,810100106,810100107,0,0,0
430001078,43,820010281,0,0,1,1,0,0,0,810100106,810100107,0,0,0
430001079,43,820010291,0,0,1,1,0,0,0,810100106,810100107,0,0,0
430001080,43,820010301,0,0,1,1,1,0,0,820103005,820103006,820103007,0,0
430001101,43,830010011,0,0,1,1,0,0,0,810100106,810100107,0,0,0
430001102,43,830010021,0,0,1,1,0,0,0,810100106,810100107,0,0,0
430001103,43,830010031,0,0,1,1,0,0,0,810100106,810100107,0,0,0
430001104,43,830010041,0,0,1,1,0,0,0,810100106,810100107,0,0,0
430001105,43,830010051,0,0,1,1,0,0,0,810100106,810100107,0,0,0
430001106,43,830010061,0,0,1,1,0,0,0,810100106,810100107,0,0,0
430001107,43,830010071,0,0,1,1,0,0,0,810100106,810100107,0,0,0
430001108,43,830010081,0,0,1,1,0,0,0,810100106,810100107,0,0,0
430001109,43,830010091,0,0,1,1,0,0,0,810100106,810100107,0,0,0
430001110,43,830010101,0,0,1,1,0,0,0,830101002,830101003,0,0,0
430001111,43,830010111,0,0,1,1,0,0,0,810100106,810100107,0,0,0
430001112,43,830010121,0,0,1,1,0,0,0,810100106,810100107,0,0,0
430001113,43,830010131,0,0,1,1,0,0,0,810100106,810100107,0,0,0
430001114,43,830010141,0,0,1,1,0,0,0,810100106,810100107,0,0,0
430001115,43,830010151,0,0,1,1,0,0,0,810100106,810100107,0,0,0
430001116,43,830010161,0,0,1,1,0,0,0,810100106,810100107,0,0,0
430001117,43,830010171,0,0,1,1,0,0,0,810100106,810100107,0,0,0
430001118,43,830010181,0,0,1,1,0,0,0,810100106,810100107,0,0,0
430001119,43,830010191,0,0,1,1,0,0,0,810100106,810100107,0,0,0
430001120,43,830010201,0,0,1,1,0,0,0,830102004,830102005,0,0,0
430001121,43,830010211,0,0,1,1,0,0,0,810100106,810100107,0,0,0
430001122,43,830010221,0,0,1,1,0,0,0,810100106,810100107,0,0,0
430001123,43,830010231,0,0,1,1,0,0,0,810100106,810100107,0,0,0
430001124,43,830010241,0,0,1,1,0,0,0,810100106,810100107,0,0,0
430001125,43,830010251,0,0,1,1,0,0,0,810100106,810100107,0,0,0
430001126,43,830010261,0,0,1,1,0,0,0,810100106,810100107,0,0,0
430001127,43,830010271,0,0,1,1,0,0,0,810100106,810100107,0,0,0
430001128,43,830010281,0,0,1,1,0,0,0,810100106,810100107,0,0,0
430001129,43,830010291,0,0,1,1,0,0,0,810100106,810100107,0,0,0
430001130,43,830010301,0,0,1,1,1,0,0,830103002,830103003,830103004,0,0
430001151,43,840010011,0,0,1,1,0,0,0,810100106,810100107,0,0,0
430001152,43,840010021,0,0,1,1,0,0,0,810100106,810100107,0,0,0
430001153,43,840010031,0,0,1,1,0,0,0,810100106,810100107,0,0,0
430001154,43,840010041,0,0,1,1,0,0,0,810100106,810100107,0,0,0
430001155,43,840010051,0,0,1,1,0,0,0,810100106,810100107,0,0,0
430001156,43,840010061,0,0,1,1,0,0,0,810100106,810100107,0,0,0
430001157,43,840010071,0,0,1,1,0,0,0,810100106,810100107,0,0,0
430001158,43,840010081,0,0,1,1,0,0,0,810100106,810100107,0,0,0
430001159,43,840010091,0,0,1,1,0,0,0,810100106,810100107,0,0,0
430001160,43,840010101,0,0,1,1,1,0,0,840101002,840101003,840101004,0,0
430001161,43,840010111,0,0,1,1,0,0,0,810100106,810100107,0,0,0
430001162,43,840010121,0,0,1,1,0,0,0,810100106,810100107,0,0,0
430001163,43,840010131,0,0,1,1,0,0,0,810100106,810100107,0,0,0
430001164,43,840010141,0,0,1,1,0,0,0,810100106,810100107,0,0,0
430001165,43,840010151,0,0,1,1,0,0,0,810100106,810100107,0,0,0
430001166,43,840010161,0,0,1,1,0,0,0,810100106,810100107,0,0,0
430001167,43,840010171,0,0,1,1,0,0,0,810100106,810100107,0,0,0
430001168,43,840010181,0,0,1,1,0,0,0,810100106,810100107,0,0,0
430001169,43,840010191,0,0,1,1,0,0,0,810100106,810100107,0,0,0
430001170,43,840010201,0,0,1,1,4,0,0,840102005,840102006,840102007,0,0
430001171,43,840010211,0,0,1,1,0,0,0,810100106,810100107,0,0,0
430001172,43,840010221,0,0,1,1,0,0,0,810100106,810100107,0,0,0
430001173,43,840010231,0,0,1,1,0,0,0,810100106,810100107,0,0,0
430001174,43,840010241,0,0,1,1,0,0,0,810100106,810100107,0,0,0
430001175,43,840010251,0,0,1,1,0,0,0,810100106,810100107,0,0,0
430001176,43,840010261,0,0,1,1,0,0,0,810100106,810100107,0,0,0
430001177,43,840010271,0,0,1,1,0,0,0,810100106,810100107,0,0,0
430001178,43,840010281,0,0,1,1,0,0,0,810100106,810100107,0,0,0
430001179,43,840010291,0,0,1,1,0,0,0,810100106,810100107,0,0,0
430001180,43,840010301,0,0,1,1,0,0,0,840103002,840103003,0,0,0
430001201,43,850010011,0,0,1,1,0,0,0,810100106,810100107,0,0,0
430001202,43,850010021,0,0,1,1,0,0,0,810100106,810100107,0,0,0
430001203,43,850010031,0,0,1,1,0,0,0,810100106,810100107,0,0,0
430001204,43,850010041,0,0,1,1,0,0,0,810100106,810100107,0,0,0
430001205,43,850010051,0,0,1,1,0,0,0,810100106,810100107,0,0,0
430001206,43,850010061,0,0,1,1,0,0,0,810100106,810100107,0,0,0
430001207,43,850010071,0,0,1,1,0,0,0,810100106,810100107,0,0,0
430001208,43,850010081,0,0,1,1,0,0,0,810100106,810100107,0,0,0
430001209,43,850010091,0,0,1,1,0,0,0,810100106,810100107,0,0,0
430001210,43,850010101,0,0,1,1,1,0,0,850101002,850101003,850101004,0,0
430001211,43,850010111,0,0,1,1,0,0,0,810100106,810100107,0,0,0
430001212,43,850010121,0,0,1,1,0,0,0,810100106,810100107,0,0,0
430001213,43,850010131,0,0,1,1,0,0,0,810100106,810100107,0,0,0
430001214,43,850010141,0,0,1,1,0,0,0,810100106,810100107,0,0,0
430001215,43,850010151,0,0,1,1,0,0,0,810100106,810100107,0,0,0
430001216,43,850010161,0,0,1,1,0,0,0,810100106,810100107,0,0,0
430001217,43,850010171,0,0,1,1,0,0,0,810100106,810100107,0,0,0
430001218,43,850010181,0,0,1,1,0,0,0,810100106,810100107,0,0,0
430001219,43,850010191,0,0,1,1,0,0,0,810100106,810100107,0,0,0
430001220,43,850010201,0,0,1,1,1,0,0,850102002,850102003,850102004,0,0
430001221,43,850010211,0,0,1,1,0,0,0,810100106,810100107,0,0,0
430001222,43,850010221,0,0,1,1,0,0,0,810100106,810100107,0,0,0
430001223,43,850010231,0,0,1,1,0,0,0,810100106,810100107,0,0,0
430001224,43,850010241,0,0,1,1,0,0,0,810100106,810100107,0,0,0
430001225,43,850010251,0,0,1,1,0,0,0,810100106,810100107,0,0,0
430001226,43,850010261,0,0,1,1,0,0,0,810100106,810100107,0,0,0
430001227,43,850010271,0,0,1,1,0,0,0,810100106,810100107,0,0,0
430001228,43,850010281,0,0,1,1,0,0,0,810100106,810100107,0,0,0
430001229,43,850010291,0,0,1,1,0,0,0,810100106,810100107,0,0,0
430001230,43,850010301,0,0,1,1,4,0,0,850103005,850103006,850103007,0,0
